Součet hodnot: Kapacita,Kolo,KKOV,Kraj,Město,Součet hodnot: Nepřijati - nedostačující kapacita,Součet hodnot: Nepřijati - nesplnění podmínek,Součet hodnot: Nepřijati - přijati na vyšší prioritu,Obor,Okres,Součet hodnot: Přihlášeni,Součet hodnot: Přihlášeni - priorita 1,Součet hodnot: Přihlášeni - priorita 2,Součet hodnot: Přihlášeni - priorita 3,Součet hodnot: Přijati,Součet hodnot: Přijati - priorita 1,Součet hodnot: Přijati - priorita 2,Součet hodnot: Přijati - priorita 3,Součet hodnot: REDIZO,Rok,SMO16,Škola,Zaměření,Zřizovatel
30,1,16-01-M/01,Hlavní město Praha,Praha,45,1,66,Ekologie a životní prostředí,Praha,142,38,45,59,30,23,7,0,600004856,2024,SZE,"VOŠek.st.,G,SPŠpotr.t. a SOŠpřír.a vet., Podskalská 365, Praha","",veřejné / státní
30,1,16-01-M/01,Hlavní město Praha,Praha,16,2,52,Ekologie a životní prostředí,Praha,100,31,35,32,30,21,6,3,600004856,2025,SZE,"VOŠek.st.,G,SPŠpotr.t. a SOŠpřír.a vet.",Ekologie a ochrana životního prostředí,veřejné / státní
40,1,16-01-M/01,Jihočeský,Písek,0,1,41,Ekologie a životní prostředí,Písek,67,11,27,29,25,10,12,3,600008550,2024,SZE,"Střední zemědělská škola, Čelakovského 200, Písek","",veřejné / státní
30,1,16-01-M/01,Jihočeský,Písek,0,0,32,Ekologie a životní prostředí,Písek,50,12,17,18,18,12,5,1,600008550,2025,SZE,Střední zemědělská škola,,veřejné / státní
30,1,16-01-M/01,Jihočeský,Třeboň,0,0,27,Ekologie a životní prostředí,Jindřichův Hradec,45,17,16,12,18,17,1,0,600008363,2024,SZE,"Střední škola rybářská a vodohospodářská, Táboritská 688, Třeboň",Vodohospodář,veřejné / státní
30,1,16-01-M/01,Jihočeský,Třeboň,0,0,44,Ekologie a životní prostředí,Jindřichův Hradec,69,15,18,35,25,15,6,4,600008363,2025,SZE,Střední škola rybářská a vodohospodářská,Vodohospodářství,veřejné / státní
30,1,16-01-M/01,Jihočeský,Veselí nad Lužnicí,0,0,37,Ekologie a životní prostředí,Tábor,61,19,15,25,24,19,3,2,600008851,2024,SZE,"SOŠ ekologická a potravinářská, Blatské sídliště 600, Veselí nad Lužnicí",Ekologie a životní prostředí,veřejné / státní
30,1,16-01-M/01,Jihočeský,Veselí nad Lužnicí,0,9,37,Ekologie a životní prostředí,Tábor,71,22,26,20,25,18,6,1,600008851,2025,SZE,SOŠ ekologická a potravinářská,,veřejné / státní
23,1,16-01-M/01,Jihomoravský,Bzenec,0,0,14,Ekologie a životní prostředí,Hodonín,27,9,11,7,13,9,4,0,600014614,2024,SZE,"SŠ gastronomie, hotelnictví a lesnictví, náměstí Svobody 318, Bzenec","",veřejné / státní
23,1,16-01-M/01,Jihomoravský,Bzenec,0,1,23,Ekologie a životní prostředí,Hodonín,37,10,11,13,13,10,2,1,600014614,2025,SZE,"SŠ gastronomie, hotelnictví a lesnictví",,veřejné / státní
30,1,16-01-M/01,Jihomoravský,Rajhrad,2,9,49,Ekologie a životní prostředí,Brno-venkov,90,24,38,28,30,21,5,4,600014096,2024,SZE,"Střední zahradnická škola, Masarykova 198, Rajhrad","",veřejné / státní
30,1,16-01-M/01,Jihomoravský,Rajhrad,0,13,52,Ekologie a životní prostředí,Brno-venkov,87,17,35,32,22,14,3,5,600014096,2025,SZE,Střední zahradnická škola,,veřejné / státní
15,1,16-01-M/01,Karlovarský,Karlovy Vary,4,1,41,Ekologie a životní prostředí,Karlovy Vary,61,14,21,24,15,13,1,1,600009203,2024,SZE,"SUPŠ keramická a sklářská K. Vary, nám. 17. listopadu 710, Karlovy Vary","",veřejné / státní
15,1,16-01-M/01,Karlovarský,Karlovy Vary,6,3,25,Ekologie a životní prostředí,Karlovy Vary,49,14,15,17,15,11,2,2,600009203,2025,SZE,SUPŠ keramická a sklářská K. Vary,Ekologie a životní prostředí,veřejné / státní
10,1,16-01-M/01,Kraj Vysočina,Polná,0,2,0,Ekologie a životní prostředí,Jihlava,6,5,1,0,4,4,0,0,691013357,2024,SZE,"Montessori SŠ, ZŠ a MŠ Polná, Alej svobody 1247, Polná","",soukromé
10,1,16-01-M/01,Kraj Vysočina,Polná,0,2,4,Ekologie a životní prostředí,Jihlava,7,1,3,3,1,1,0,0,691013357,2025,SZE,"Montessori SŠ, ZŠ a MŠ Polná",,soukromé
26,1,16-01-M/01,Královéhradecký,Trutnov,0,1,59,Ekologie a životní prostředí,Trutnov,75,11,38,23,15,11,3,1,600012905,2024,SZE,"Čes. lesn. akademie Trutnov - SŠ a VOŠ, Lesnická 9, Trutnov","",veřejné / státní
15,1,16-01-M/01,Liberecký,Česká Lípa,0,1,20,Ekologie a životní prostředí,Česká Lípa,34,9,14,11,13,9,3,1,600010104,2024,SZE,"SZdrŠ a SOŠ, příspěvková organizace, 28. října 2707, Česká Lípa","",veřejné / státní
